sa3,cases,population
Belconnen,13,98371
Canberra East,,1568
Gungahlin,16,77954
Molonglo,,6082
North Canberra,12,54855
South Canberra,17,31656
Tuggeranong,24,88109
Urriarra - Namadji,,603
Weston Creek,7,23257
Woden Valley,11,37866
